list_actions,list_adjectives_1,list_adjectives_2,list_services,list_products
-----,-----,-----,-----,-----
buy,best,most+beautiful,credit,house
purchase,best+of+2019,biggest,mortgage,flat
rent,better,big,bank+account,apartment
where+to+buy,top+rated,smallest,savings+account,home
where+to+purchase,top+rated+of+2019,small,investment,building
where+to+rent,ranking+of,,holidays,condo
,2019+ranking+of,,trip,condominium
,most+valued,,investment,dwelling
,better+rated,,,mansion
,best+valued,,,residence
,most+expensive,,,shack
,least+expensive,,,
,luxurious,,,vehicle
,cheap,,,car
,expensive,,,sports+car
,prettiest,,,family+car
,awesome,,,suv
,great,,,ute
,economic,,,van
,,,,campervan
,,,,truck
,,,,motorbike
,,,,motorcycle
,,,,boat
,,,,yatch
,,,,
,,,,diamond
,,,,ring
,,,,wedding+ring
,,,,wedding+dress
,,,,
,,,,laptop
,,,,computer
,,,,TV
,,,,television
,,,,videoconsole
,,,,Surface+Pro
,,,,PC
,,,,Mac
,,,,smartphone
,,,,iPhone
,,,,iPad
,,,,android+phone
,,,,smartwatch
,,,,virtual+reality+headset
,,,,VR+headset
,,,,dron
,,,,XBox
,,,,play+station
,,,,nintendo+switch
,,,,
,,,,camera
,,,,dslr
,,,,dslr+camera
,,,,videocamera
,,,,
,,,,sofa
,,,,wardrobe
,,,,kitchen
,,,,microwave
,,,,oven
,,,,fridge
,,,,washing+machine
,,,,dryer
,,,,dish+washer
,,,,vacuum+cleaner
,,,,thermomix
,,,,cooking+robot
,,,,
,,,,bitcoin
,,,,litecoin
,,,,ethereum
,,,,cryptocurrencies
,,,,cryptocurrency
,,,,
,,,,
,,,,Apple+product
,,,,Google+Pixel
,,,,Samsung
,,,,Dyson
,,,,HP
,,,,LG
,,,,Canon
,,,,Nikkon
,,,,MSI
,,,,GoPro
,,,,Bose
,,,,Razer
,,,,Sony
,,,,Marshall
,,,,Philips
,,,,Logitec
